country,code.3,code.2,type,capital,founding.date,capital.lat,capital.long,telephone.lines,telephone.mobile,internet.users,broadband.subscriptions,gdp.ppp,gdp.growth.rate,gdp.per.capita,gross.national.savings,industrial.production.growth.rate,labor.force.size,unemployment.rate,gini.index,tax.revenue,budget.surplus,debt,inflation.rate,central.bank.discount.rate,bank.lending.rate,current.account.balance,exports,imports,foreign.exchange,debt.external,electricity.production,electricity.consumption,electricity.exports,electricity.imports,electricity.capaicty,electricity.fossil.fuels,electricity.nuclear,electricity.hydroelectric,electricity.renewable,oil.production,oil.exports,oil.imports,oil.reserves,petroleum.production,natural.gas.production,natural.gas.consumption,natural.gas.export,natural.gas.import,natural.gas.reserves,co2.emissions,area,military.expenditures,population,age.median,population.growth.rate,birth.rate,death.rate,migration.net.rate,mortality.maternal.rate,mortality.infant.rate,life.expectany,fertility.rate,obesity.rate,underweight.children.under.5.rate,education.expenditures,unemployment.rate.youth,airports,railways,roadways,education.per.gdp,ag.area.per.total,ag.sq.km,arable.land.per.total,arable.land.hect.per.capita,birth.rate.per.1000,fish.production.1000.tons,co2.emissions.total,co2.emissions.per.capita,co2.emissions.from.gas.fuels,co2.emissions.from.liquid.fuels,death.rate.per.1000,fertility.rate.per.woman,fdi,forest.area.percent,gdp.constant,gdp.current,internet.access.percentage,inflation.rate,land.area.sq.km,life.expectancy.female,life.expectancy.male,life.expectancy.all,exports,imports,mobile.subscriptions.per.100,open.defecation.percentage,drinking.water.percentage,sanitation.percentage,population.density,populatiion.growth.rate,population.total,preeducation.years.avg,primary.education.avg,population.rural,population.rural.percentage,population.rural.growth.rate,science.articles,secondary.education.avg,internet.servers.per.million,area.sq.km,fish.production.tons,urban.populaiton,urban.population.percentage,urban.population.growth.rate,protected.areas.percentage,terrestrial.protected.areas.percentage
Azerbaijan,AZE,AZ,republic,Baku,8/30/91,40 23 N,49 52 E,"1,688,325","10,127,000","7,720,502","1,805,214","$172,200,000,000 ",0.1,"$17,500 ",24.6,-3.8,"5,118,000",5,33.7,23.5,-1.6,54.1,13,15,12.7,1685000000.00,"$15,150,000,000 ","$9,037,000,000 ","$6,681,000,000 ","$17,410,000,000 ","23,570,000,000","20,240,000,000","265,000,000","114,000,000","7,876,000.00",84,0,14,2,"798,000","718,800",0,"7,000,000,000","138,900","16,960,000,000","10,340,000,000","8,042,000,000","2,095,000,000","991,100,000,000","35,600,000.00","86,600.00",3.77,"10,046,516",31.7,0.83,15.3,7,0,26,23,73,1.89,19.9,4.9,2.5,13.4,37,"2,944","24,981",3.045548101,57.73557518,47730,24.18047659,0.2048615,16.3,676,37619.753,3.855347182,57.21805244,32.54703187,5.8,1.9,4499666000,14.09967334,56718342641,37867518957,78.2,14.628339,82670,75.088,69.858,72.493,1.31E+10,8.49E+09,104.6523726,0.15649434,90.71031547,92.48309488,118.033289,1.11785721,9757812,5,4,4388966,44.979,0.437619372,593.56,8,101.8670989,86600,1316,5368846,55.021,1.677401514,5.518745809,10.15
Burundi,BDI,BI,republic,Bujumbura,7/1/62,3 22 S,29 21 E,"23,409","5,920,612","574,236","3,914","$8,007,000,000 ",0,$700 ,-5.3,-2,"5,012,000",NA,42.4,15.8,-5.7,51.7,16.6,11.25,14.8,-418000000.00,"$119,000,000 ","$603,800,000 ","$97,400,000 ","$610,900,000 ","304,000,000","382,700,000",0,"100,000,000","68,000.00",14,0,73,14,0,0,0,0,0,0,0,0,0,0,"217,000.00","27,830.00",1.88,"11,844,520",17.1,3.23,40.9,8.6,0,548,57.4,61.4,5.93,5.4,29.3,4.8,2.9,7,NA,"12,322",5.175521639,79.16666667,20330,46.72897196,0.114416498,40.278,21805,495.045,0.047201096,0,86.66666667,8.3,5.599,55420.35666,10.92679151,2306955749,2959640987,5.173626777,0.96047019,25680,62.301,58.726,60.528,1.25E+08,6.16E+08,51.08522649,2.634545119,60.20415203,45.85101926,408.4111371,3.177016087,10487998,2,6,9188745,87.612,2.823805146,13.72,7,1.525553304,27830,23135,1299253,12.388,5.711300416,7.592545634,7.59
Belgium,BEL,BE,federal parliamentary democracy under a constitutional monarchy,Brussels,10/4/1830,50 50 N,4 20 E,"4,251,564","11,961,089","9,870,734","4,378,973","$529,200,000,000 ",1.7,"$46,600 ",24.5,0.2,"5,324,000",7.1,25.9,51.3,-1,103.4,2.2,0,2.08,-807000000.00,"$300,800,000,000 ","$300,400,000,000 ","$26,160,000,000 ","$1,281,000,000,000 ","79,830,000,000","82,160,000,000","8,465,000,000","14,650,000,000","21,560,000.00",35,28,1,36,0,0,"687,600",0,"731,700",0,"17,610,000,000","736,200,000","18,090,000,000",0,"134,700,000.00","30,528.00",0.93,"11,570,762",41.5,0.67,11.3,9.7,5.2,5,3.4,81.2,1.78,22.1,NA,6.5,19.3,41,"3,592","118,414",6.121149265,44.61030544,13508.00049,28.05151996,0.074959703,10.8,26970,96889.474,8.550513254,33.80137764,52.06645977,9.5,1.68,57538351507,22.58388464,5.20598E+11,4.75901E+11,86.51647666,1.742792853,30280,84,79,81.43902439,3.98E+11,3.79E+11,110.5368746,0,99.99999866,99.48605762,374.2213342,0.506300002,11331422,3,6,235807,2.081,-1.538941856,16763.94,6,3047.27862,30530,27014,11095615,97.919,0.550223217,24.57816225,23.21
Benin,BEN,BJ,republic,Porto-Novo,8/1/60,6 29 N,2 37 E,"56,787","8,773,044","1,288,336","28,833","$25,390,000,000 ",5.6,"$2,300 ",17.3,3,"3,662,000",1,36.5,17.1,-6.2,54.6,0.1,4.25,5.3,-1024000000.00,"$1,974,000,000 ","$2,787,000,000 ","$698,900,000 ","$2,804,000,000 ","335,000,000","1,143,000,000",0,"1,088,000,000","321,000.00",88,0,9,2,0,0,0,"8,000,000",0,0,0,0,0,"1,133,000,000","5,664,000.00","112,622.00",0.86,"11,340,504",18.4,2.68,34.5,7.7,0,397,51.5,62.7,4.67,9.6,16.8,4,5.6,6,438,"16,000",4.027134009,33.25647393,37500,23.94466123,0.24834284,37.027,49806,6475.922,0.595647727,0,81.200453,9.18,4.977,131790853.8,37.78822277,12338975598,11821066153,11.99404791,0.683591111,112760,62.379,59.361,60.885,1.77E+09,2.87E+09,81.7921125,54.08020422,66.32023997,16.35113779,96.41776339,2.761409493,10872067,2,6,5846019,53.771,1.773200812,175.83,7,2.483428404,114760,52886,5026048,46.229,3.923260328,28.87194497,28.87
Burkina Faso,BFA,BF,parliamentary republic,Ouagadougou,8/5/60,12 22 N,1 31 W,"76,000","17,946,375","2,723,950","14,067","$35,850,000,000 ",6.4,"$1,900 ",9.3,10.4,"8,501,000",77,39.5,21.2,-7.9,38.1,0.4,4.25,5.3,-1019000000.00,"$3,140,000,000 ","$3,305,000,000 ","$49,000,000 ","$3,056,000,000 ","990,000,000","1,551,000,000",0,"630,000,000","342,400.00",80,0,9,12,0,0,0,0,0,0,0,0,0,0,"3,421,000.00","274,200.00",2.06,"19,742,715",17.4,2.76,36.9,8.7,-0.7,320,54.7,61.8,4.77,5.6,16.2,4.2,8.7,23,622,"15,304",4.31,44.2251462,121000,21.92982456,0.32177831,38.92,22070,3417.644,0.183287285,0,95.60085837,8.571,5.353,390622353.4,19.33552703,13944292429,12822558022,13.96,2.517217327,273600,60.988,59.592,60.354,2.51E+09,3.35E+09,82.61152567,48.03874659,48.26771688,19.12627904,68.15196637,2.915319071,18646378,3,6,13400406,71.866,2.078379668,220.41,7,1.823410423,274220,22540,5245972,28.134,5.085564078,15.08481978,15.08
Bangladesh,BGD,BD,parliamentary democracy,Dhaka,12/16/71,23 43 N,90 24 E,"710,189","145,113,669","28,499,324","7,296,000","$690,300,000,000 ",7.4,"$4,200 ",30.2,10.2,"66,640,000",4.4,32.1,9.6,-3.2,33.1,5.6,5,9.54,-5322000000.00,"$35,300,000,000 ","$47,560,000,000 ","$33,420,000,000 ","$50,260,000,000 ","60,510,000,000","53,650,000,000",0,0,"11,900,000.00",97,0,2,2,"3,000",0,"21,860","28,000,000","26,280","29,530,000,000","29,530,000,000",0,0,"185,800,000,000","79,970,000.00","148,460.00",1.37,"159,453,001",27.1,1.02,18.6,5.4,-3,173,30.5,73.7,2.15,3.6,32.8,2,12.8,18,"2,460","369,105",1.245991282,70.63232666,91942.09961,59.64669249,0.04914964,18.824,1674770,84245.658,0.533298791,63.61539131,18.33812135,5.539,2.09,2332724781,10.95797822,1.67771E+11,2.21415E+11,18.02,6.727815933,130170,73.655,70.192,71.785,3.49E+10,4.48E+10,86.07690632,0.272099774,96.88253034,47.00580284,1213.573327,1.091300482,157970840,3,5,102549930,64.917,-0.095462043,2645.7,7,23.61828297,147630,3878324,55420910,35.083,3.325113119,4.88867648,4.61
Bulgaria,BGR,BG,parliamentary democracy,Sofia,3/3/1878,42 41 N,23 19 E,"1,302,316","8,532,908","4,274,328","1,764,782","$153,500,000,000 ",3.6,"$21,800 ",25.4,3.6,"3,357,000",6.2,40.2,35.7,1.8,23.9,1.2,0,5.41,2562000000.00,"$29,080,000,000 ","$31,430,000,000 ","$28,380,000,000 ","$42,060,000,000 ","42,290,000,000","32,340,000,000","9,187,000,000","4,568,000,000","10,750,000.00",39,20,23,19,"1,000",0,"133,900","15,000,000","144,300","79,280,000","3,313,000,000","31,150,000","3,256,000,000","5,663,000,000","46,310,000.00","110,879.00",3.25,"7,057,504",43,-0.63,8.5,14.5,-0.3,10,8.3,74.8,1.47,25,NA,4.1,12.9,68,"5,114","19,512",3.86451013,46.25092115,50210,32.20338983,0.490472405,9.1,8614,41708.458,5.851501062,14.75294531,29.29488307,15.1,1.54,1476500000,35.37398629,57087027058,53785050339,59.82554766,2.538556891,108560,78.5,71.3,74.81219512,2.66E+10,2.89E+10,125.4743844,0,99.14817534,85.99330573,65.65790346,-0.701382098,7127822,4,4,1829783,25.671,-2.013280588,2557.01,8,4043.451141,111000,24376.16,5298039,74.329,-0.244263619,28.28713195,34.69
Bahrain,BHR,BH,constitutional monarchy,Manama,8/15/71,26 14 N,50 34 E,"285,318","2,364,477","1,351,326","213,633","$71,170,000,000 ",3.8,"$49,000 ",19.8,0.6,"831,600",3.6,NA,16.6,-10.1,88.5,1.4,1.75,5.33,-1600000000.00,"$15,380,000,000 ","$16,080,000,000 ","$2,349,000,000 ","$52,150,000,000 ","26,810,000,000","26,110,000,000","213,000,000","276,000,000","3,928,000.00",100,0,0,0,"40,000",0,"226,200","124,600,000","274,500","15,890,000,000","15,890,000,000",0,0,"92,030,000,000","37,980,000.00",760,3.6,"1,442,659",32.5,2.19,13.1,2.8,11.6,14,8.8,79.1,1.73,29.8,NA,2.3,5.3,4,NA,"4,122",2.91,11.05398463,86.00000381,2.05655522,0.001122184,14.738,15000,31693.881,22.22898097,85.80354044,11.99814879,2.355,2.033,243351063.8,0.784061684,31847579787,32250132979,97.9999807,0.133884877,778.0000305,77.997,76.063,76.899,1.28E+10,9.17E+09,210.0492218,0,100,100,1832.636175,3.856582461,1425791,5,6,155554,10.91,3.02629214,220.98,6,346.474343,778.0000305,15006,1270237,89.09,3.958735762,1.694772648,6.7
"Bahamas, The",BHS,BS,constitutional parliamentary democracy,Nassau,7/10/73,25 05 N,77 21 W,"113,852","353,540","261,853","86,868","$12,060,000,000 ",1.4,"$32,400 ",11.4,5.8,"196,900",10.1,NA,17.6,-2.6,54.6,1.4,4.5,4.25,-1909000000.00,"$550,000,000 ","$3,180,000,000 ","$1,522,000,000 ","$17,560,000,000 ","1,778,000,000","1,654,000,000",0,0,"577,000.00",100,0,0,0,0,0,0,0,0,0,"48,020",0,"48,020",0,"3,089,000.00","13,880.00",NA,"332,634",32.3,0.79,15.1,7.3,0,70,11.1,72.9,1.94,31.6,NA,NA,25.8,61,NA,"2,700",3.8356,1.398601399,140,0.799200799,0.021167885,14.131,11625,1785.829,4.725277895,0,99.79466119,6.689,1.771,390400036.4,51.44855145,10344048017,11938400000,80,1.1322123,10010,75.509,71.064,73.329,4.81E+08,2.63E+09,95.30865504,0.22319574,98.8869605,94.93058233,37.75534466,0.990519136,377931,2,6,64883,17.168,0.48976915,12.91,6,1053.102286,13880,11633,313048,82.832,1.094620108,1.240258124,31.2
Bosnia and Herzegovina,BIH,BA,federal democratic republic,Sarajevo,3/1/92,43 52 N,18 25 E,"759,344","3,440,085","2,677,502","663,670","$44,830,000,000 ",3,"$12,800 ",11,3,"1,380,000",20.5,33.8,44,2.1,39.5,1.2,NA,4.38,-873000000.00,"$5,205,000,000 ","$9,547,000,000 ","$6,474,000,000 ","$10,870,000,000 ","16,990,000,000","11,870,000,000","6,007,000,000","3,084,000,000","4,676,000.00",49,0,51,1,0,0,"18,480",0,0,0,"226,500,000",0,"226,500,000",0,"22,070,000.00","51,197.00",1.11,"3,849,891",42.5,-0.17,8.7,10.1,-0.4,10,5.4,77.1,1.31,17.9,1.6,NA,45.8,24,965,"22,926",NA,43.14453125,22090,20.0390625,0.302988512,8.477,305,21847.986,6.451938373,1.930177912,22.1550856,10.427,1.286,313198153.4,42.67578125,18946501862,16913330694,60.25653543,1.411047365,51200,79.439,74.499,76.998,5.33E+09,9.15E+09,100.5249735,0,96.1512618,95.33614877,66.13802734,-1.264581174,3386267,5,5,1777181,52.482,-1.919803947,568.38,8,188.4080611,51210,4868.6,1609086,47.518,-0.53588524,1.452410142,1.45
Belarus,BLR,BY,republic,Minsk,8/25/91,53 54 N,27 34 E,"4,499,821","10,963,224","6,805,786","3,163,286","$179,400,000,000 ",2.4,"$18,900 ",24.5,5.6,"4,381,000",0.8,26.5,40.7,2.9,53.4,6,14,9.66,-931000000.00,"$28,650,000,000 ","$31,580,000,000 ","$7,315,000,000 ","$39,920,000,000 ","31,580,000,000","31,720,000,000","3,482,000,000","6,319,000,000","10,040,000.00",96,0,1,3,"31,000","31,730","468,400","198,000,000","477,200","59,460,000","17,700,000,000",0,"17,530,000,000","2,832,000,000","56,070,000.00","207,600.00",1.27,"9,527,543",40.3,-0.24,10,13.2,0.7,2,3.6,73.2,1.49,24.5,NA,4.8,9.3,65,"5,528","86,600",4.981480327,42.03548913,85327.00195,28.00066795,0.598198123,12.4,686,58279.631,6.133707568,61.84483735,28.88693135,12.6,1.733,1246900000,42.6301065,59058702609,47722657821,71.11304576,8.34191705,202988.0078,79,68.9,73.82682927,2.35E+10,2.76E+10,121.112623,0,96.47418366,97.77775129,46.8083514,0.12551111,9501534,4,4,2122548,22.339,-2.000401127,1008.55,7,438.9817476,207600,11885,7378986,77.661,0.745489102,9.511258367,9.51
